epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,12604.6,1.32411,1.0034,1.06667,0.74091,0.41613,0.46957,0.27697,1.2718,0.95015,1.05076,0.0099976,0.00333253,0.0099976,0.00333253,0.0099976,0.00333253,0.0099976,0.00333253
2,24890.1,1.34133,1.02301,1.07168,0.69489,0.4153,0.46789,0.27467,1.28043,0.96222,1.05375,0.0197501,0.00658338,0.0197501,0.00658338,0.0197501,0.00658338,0.0197501,0.00658338
3,37051.1,1.37525,1.06668,1.08634,0.67964,0.40416,0.45433,0.26519,1.29582,0.99239,1.06646,0.0292552,0.00975172,0.0292552,0.00975172,0.0292552,0.00975172,0.0292552,0.00975172
4,49053.1,1.40662,1.10785,1.1013,0.68426,0.40241,0.45629,0.26768,1.28728,0.97985,1.06391,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
5,61068.9,1.4032,1.10165,1.09881,0.73579,0.41251,0.46328,0.27383,1.27682,0.96603,1.05911,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,73175.4,1.39527,1.09286,1.09503,0.68651,0.41742,0.46874,0.27728,1.26828,0.95463,1.05465,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
7,85398.6,1.39245,1.08889,1.09291,0.70138,0.41792,0.47447,0.2815,1.26107,0.94424,1.04957,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
8,97733.5,1.38855,1.08137,1.09163,0.70036,0.42481,0.47901,0.28515,1.25352,0.93345,1.04612,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
9,109975,1.38319,1.07453,1.08739,0.70235,0.42574,0.48389,0.28956,1.24835,0.92578,1.04378,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,122460,1.38138,1.07254,1.08734,0.75515,0.42751,0.48602,0.29081,1.24476,0.92121,1.04174,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
11,134891,1.37927,1.06842,1.08413,0.70346,0.43283,0.48928,0.29307,1.24189,0.91689,1.03992,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
12,147148,1.37584,1.06563,1.08423,0.66996,0.43563,0.49063,0.29429,1.23882,0.91268,1.03826,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875
13,159302,1.3738,1.06163,1.08176,0.67205,0.43705,0.49097,0.29538,1.23656,0.90968,1.03712,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
14,171414,1.36983,1.05947,1.07989,0.67495,0.43735,0.49274,0.29659,1.23494,0.90784,1.0362,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125
15,183590,1.36548,1.05289,1.0791,0.67881,0.43691,0.49465,0.29768,1.23313,0.90575,1.03521,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
16,195807,1.36588,1.05273,1.07866,0.67755,0.43688,0.49453,0.29843,1.23163,0.90404,1.03424,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375
17,207940,1.36231,1.04732,1.07593,0.68036,0.43832,0.49528,0.29917,1.23035,0.90258,1.03347,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
18,220020,1.36122,1.04821,1.076,0.6751,0.44123,0.49552,0.29947,1.22945,0.90124,1.03292,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625
19,232120,1.35866,1.04312,1.07429,0.67227,0.44306,0.49649,0.30013,1.22849,0.90005,1.03236,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
20,244245,1.35718,1.03864,1.07363,0.67007,0.44363,0.49669,0.30049,1.22758,0.89874,1.03189,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875
21,256379,1.35577,1.03876,1.07304,0.6514,0.44454,0.49754,0.30106,1.22668,0.89749,1.03133,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
22,268424,1.35458,1.03687,1.07231,0.65399,0.44475,0.49818,0.30151,1.22578,0.89646,1.03077,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125
23,280443,1.35133,1.03369,1.07098,0.65757,0.44329,0.49951,0.30212,1.22497,0.89517,1.03022,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
24,292530,1.35062,1.03217,1.07033,0.66177,0.44175,0.49987,0.30267,1.22413,0.89411,1.02968,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375
25,304661,1.34745,1.02942,1.06845,0.66203,0.4427,0.50013,0.30311,1.22319,0.89285,1.02909,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
26,316695,1.34775,1.02841,1.06832,0.65687,0.44593,0.50108,0.30422,1.22227,0.89164,1.02849,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625
27,328760,1.3455,1.02519,1.06742,0.65737,0.44622,0.50124,0.30431,1.22157,0.89038,1.02804,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
28,340830,1.34396,1.02279,1.06652,0.65936,0.44569,0.50223,0.30511,1.22099,0.88936,1.02757,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875
29,352835,1.33874,1.01892,1.06487,0.66315,0.44664,0.50286,0.30553,1.22041,0.8883,1.02713,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
30,364895,1.34102,1.02131,1.06517,0.66911,0.44638,0.50354,0.30598,1.21949,0.88718,1.02654,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125
31,376939,1.3379,1.01696,1.06431,0.672,0.44803,0.50442,0.30654,1.21865,0.88614,1.02598,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
32,388974,1.33854,1.0159,1.06325,0.67111,0.44973,0.50527,0.30705,1.21789,0.88506,1.02544,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375
33,401012,1.33459,1.01264,1.06239,0.67465,0.44849,0.50579,0.30752,1.21711,0.8839,1.02489,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
34,413034,1.33316,1.0105,1.06132,0.6805,0.44636,0.50648,0.30801,1.21635,0.88283,1.02433,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625
35,425132,1.3292,1.007,1.06018,0.68202,0.44523,0.50697,0.30838,1.21553,0.8818,1.02377,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
36,437318,1.33084,1.00623,1.06017,0.67562,0.44912,0.50754,0.30896,1.21474,0.88085,1.02325,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875
37,449525,1.32772,1.00489,1.05863,0.67884,0.448,0.5078,0.30952,1.21398,0.87988,1.02268,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
38,461675,1.32621,1.001,1.05714,0.72887,0.44839,0.50822,0.30993,1.21331,0.8788,1.02211,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125
39,473817,1.3238,0.99864,1.05644,0.74081,0.44951,0.50906,0.31051,1.21274,0.87786,1.0216,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
40,485937,1.32457,0.99863,1.05653,0.74549,0.44973,0.50933,0.31088,1.21218,0.87681,1.02114,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375
41,498047,1.32313,0.99729,1.05538,0.7481,0.44906,0.50995,0.31154,1.21156,0.87584,1.02065,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
42,510124,1.32121,0.99421,1.05441,0.74909,0.44878,0.51038,0.31198,1.21086,0.87484,1.02008,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625
43,522157,1.31734,0.99113,1.05374,0.74907,0.44916,0.51116,0.31257,1.21021,0.87383,1.01957,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
44,534185,1.31757,0.9888,1.05242,0.74708,0.45109,0.51182,0.31309,1.20945,0.87285,1.01895,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875
45,546256,1.31482,0.9865,1.0517,0.74642,0.45219,0.51257,0.31354,1.20879,0.87187,1.01847,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
46,558343,1.31344,0.98643,1.05151,0.7505,0.45192,0.51307,0.31396,1.20812,0.871,1.01804,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125
47,570436,1.31139,0.98118,1.04987,0.74237,0.45371,0.51358,0.31417,1.20721,0.87002,1.01744,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
48,582467,1.30949,0.97954,1.04933,0.74834,0.45444,0.51404,0.31461,1.20646,0.86928,1.01691,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375
49,594572,1.30853,0.98009,1.04832,0.74943,0.45586,0.5148,0.3151,1.20571,0.8685,1.01632,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
50,606743,1.30752,0.97817,1.04823,0.70218,0.4563,0.51527,0.31556,1.20513,0.86771,1.01594,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625
51,618987,1.3039,0.97329,1.0465,0.69374,0.45739,0.5155,0.31587,1.20446,0.86679,1.01544,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
52,631057,1.30242,0.97215,1.04604,0.69625,0.45592,0.51603,0.3165,1.20386,0.86601,1.01502,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875
53,643217,1.3007,0.96832,1.04507,0.69693,0.45533,0.51652,0.31694,1.2033,0.86524,1.01458,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
54,655358,1.29885,0.9659,1.04384,0.69556,0.45711,0.51706,0.3173,1.20281,0.86442,1.01418,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125
55,667557,1.29578,0.96328,1.04319,0.70351,0.45549,0.51761,0.3177,1.20236,0.86359,1.01378,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
56,679843,1.29399,0.96241,1.04212,0.70031,0.45637,0.51819,0.31802,1.20186,0.86279,1.01336,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375
57,692016,1.29329,0.95905,1.04114,0.70313,0.45663,0.51849,0.31849,1.20131,0.86198,1.01293,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
58,704121,1.28932,0.95536,1.04,0.70437,0.45686,0.51895,0.31903,1.20077,0.86113,1.01248,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625
59,716270,1.28965,0.95522,1.03951,0.75685,0.45833,0.52021,0.31983,1.20031,0.8604,1.01211,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
60,728438,1.28592,0.95186,1.03886,0.75454,0.45997,0.52081,0.32026,1.19973,0.85962,1.0117,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875
61,740538,1.28448,0.94892,1.03771,0.75846,0.46167,0.52137,0.32073,1.19919,0.85892,1.0113,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
62,752591,1.28438,0.9464,1.03604,0.76254,0.46037,0.52184,0.32114,1.19859,0.85815,1.01082,0.00735375,0.00245125,0.00735375,0.00245125,0.00735375,0.00245125,0.00735375,0.00245125
63,764726,1.28146,0.94333,1.03565,0.7587,0.46204,0.52256,0.32156,1.19794,0.85733,1.01032,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
64,776905,1.27849,0.93972,1.03387,0.76304,0.46249,0.52345,0.32216,1.19742,0.85659,1.00983,0.00661125,0.00220375,0.00661125,0.00220375,0.00661125,0.00220375,0.00661125,0.00220375
65,788982,1.27465,0.93726,1.0328,0.75765,0.46316,0.52421,0.32256,1.1969,0.85576,1.00939,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
66,801042,1.27299,0.93368,1.03208,0.75709,0.46344,0.52513,0.32335,1.19638,0.85504,1.00902,0.00586875,0.00195625,0.00586875,0.00195625,0.00586875,0.00195625,0.00586875,0.00195625
67,813121,1.26999,0.93116,1.03129,0.75957,0.46228,0.52571,0.3238,1.19585,0.85439,1.00859,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
68,825285,1.26545,0.92536,1.02926,0.76247,0.46076,0.52749,0.32516,1.1953,0.85358,1.00816,0.00512625,0.00170875,0.00512625,0.00170875,0.00512625,0.00170875,0.00512625,0.00170875
69,837462,1.26557,0.92321,1.02872,0.76348,0.46117,0.52784,0.32544,1.19484,0.85284,1.00778,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
70,849658,1.26212,0.92041,1.02765,0.75999,0.46462,0.52847,0.32602,1.19444,0.85215,1.00739,0.00438375,0.00146125,0.00438375,0.00146125,0.00438375,0.00146125,0.00438375,0.00146125
71,861445,1.23773,0.88236,1.02639,0.75837,0.46548,0.52864,0.32612,1.19408,0.85159,1.00711,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
72,873232,1.23166,0.87322,1.02365,0.75587,0.46497,0.52869,0.32644,1.19379,0.85101,1.00683,0.00364125,0.00121375,0.00364125,0.00121375,0.00364125,0.00121375,0.00364125,0.00121375
73,885078,1.22763,0.86809,1.02266,0.75563,0.46463,0.52934,0.32679,1.19344,0.85039,1.0066,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
74,896879,1.22404,0.86284,1.02079,0.72721,0.46712,0.53022,0.32732,1.19327,0.84989,1.00647,0.00289875,0.00096625,0.00289875,0.00096625,0.00289875,0.00096625,0.00289875,0.00096625
75,908735,1.21899,0.85643,1.01882,0.72078,0.46935,0.53032,0.32766,1.19314,0.84929,1.0063,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
76,920525,1.21544,0.85333,1.01713,0.72516,0.46688,0.53057,0.32788,1.19294,0.84859,1.00604,0.00215625,0.00071875,0.00215625,0.00071875,0.00215625,0.00071875,0.00215625,0.00071875
77,932277,1.21217,0.84865,1.01552,0.725,0.4661,0.53111,0.32814,1.19271,0.84788,1.00578,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
78,944008,1.20895,0.84555,1.01426,0.72504,0.46731,0.53055,0.32757,1.19256,0.84714,1.00554,0.00141375,0.00047125,0.00141375,0.00047125,0.00141375,0.00047125,0.00141375,0.00047125
79,955734,1.20474,0.84059,1.01247,0.72437,0.46707,0.53079,0.32784,1.19245,0.84639,1.00533,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
80,967530,1.20091,0.83541,1.01038,0.7244,0.46621,0.53117,0.32817,1.19232,0.84562,1.00509,0.00067125,0.00022375,0.00067125,0.00022375,0.00067125,0.00022375,0.00067125,0.00022375
