epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,6489.54,1.66526,2.0568,1.23148,0.51647,0.26462,0.274,0.14703,1.54234,1.53392,1.18779,0.00999525,0.00333175,0.00999525,0.00333175,0.00999525,0.00333175,0.00999525,0.00333175
2,12634.6,1.61793,1.51955,1.20093,0.51095,0.28489,0.30436,0.16214,1.54774,1.42669,1.19185,0.0197478,0.0065826,0.0197478,0.0065826,0.0197478,0.0065826,0.0197478,0.0065826
3,18744.3,1.64489,1.47843,1.21771,0.46208,0.29012,0.30459,0.16014,1.54105,1.35923,1.19632,0.0292529,0.00975095,0.0292529,0.00975095,0.0292529,0.00975095,0.0292529,0.00975095
4,24870.4,1.62625,1.41361,1.21284,0.58239,0.31446,0.3312,0.17868,1.49299,1.26498,1.17431,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
5,30931.3,1.57413,1.32829,1.18616,0.59836,0.3231,0.35021,0.19053,1.44649,1.20275,1.15174,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,36957.6,1.54245,1.27931,1.16961,0.61623,0.34754,0.37483,0.20791,1.41861,1.14512,1.1294,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
7,42980.8,1.51533,1.24428,1.15631,0.6317,0.35023,0.3853,0.21628,1.39433,1.11762,1.12113,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
8,49075.1,1.49942,1.21645,1.14776,0.65122,0.35711,0.39655,0.22337,1.37653,1.09041,1.11134,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
9,55168.9,1.48491,1.19847,1.13926,0.6559,0.36382,0.40647,0.23112,1.36275,1.07024,1.10379,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,61274.6,1.47325,1.18265,1.13262,0.65717,0.37391,0.41393,0.23628,1.35295,1.05783,1.09421,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
11,67387.2,1.46295,1.16774,1.12717,0.66796,0.37537,0.41897,0.23955,1.33968,1.04613,1.08871,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
12,73572,1.45805,1.1593,1.12385,0.66859,0.38586,0.42777,0.24704,1.33185,1.02988,1.08397,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875
13,79736.8,1.44779,1.14871,1.11832,0.67334,0.38345,0.43232,0.25057,1.32391,1.01829,1.08081,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
14,85833,1.44277,1.13999,1.11643,0.6841,0.38615,0.43721,0.25382,1.3171,1.00687,1.07761,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125
15,91963.4,1.43502,1.13222,1.11119,0.67637,0.39285,0.44174,0.25788,1.31108,0.99932,1.07261,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
16,98069.5,1.43238,1.12497,1.10968,0.68121,0.39486,0.44539,0.26023,1.30517,0.99136,1.07087,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375
17,104160,1.42828,1.11769,1.10625,0.6777,0.40095,0.44814,0.26203,1.30269,0.98549,1.06779,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
18,110236,1.42181,1.11306,1.10377,0.69212,0.39826,0.45293,0.26598,1.29643,0.97896,1.06463,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625
19,116397,1.41752,1.1065,1.10122,0.68636,0.4042,0.4532,0.26649,1.29248,0.97326,1.06244,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
20,122507,1.41255,1.09809,1.09921,0.68404,0.4062,0.45603,0.26834,1.28985,0.96822,1.06036,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875
21,128625,1.41098,1.09595,1.09819,0.69168,0.40588,0.45867,0.27069,1.28504,0.96372,1.05793,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
22,134715,1.40682,1.08894,1.09624,0.70285,0.40227,0.46028,0.27206,1.28246,0.95962,1.05649,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125
23,140824,1.40406,1.08577,1.09393,0.69206,0.4079,0.46119,0.27235,1.28076,0.95682,1.05535,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
24,146980,1.40063,1.0818,1.09287,0.69234,0.41,0.46444,0.27426,1.27882,0.95397,1.0543,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375
